Title,Author,ISBN Valid,Publisher,Subjects,i,Subjects_fine
Les formes premières du droit en Occident /,Robert Jacob,9782130824510; 213082451X,Presses universitaires de France,droit; droit romain; fachsprache; histoire; langage; rechtsgeschichte; rechtssprache; rechtswissenschaft; romisches recht; sprachgebrauch,2971,actes de langage; droit; droit romain; fachsprache; histoire; rechtsgeschichte; rechtssprache; rechtswissenschaft; romisches recht; sprachgebrauch
Etapes du fédéralisme : l'expérience suisse /,David Lasserre,,Rencontre,federalisme suisse,2972,federalisme suisse
The foundations of modern political thought /,Quentin Skinner,,Cambridge Univ Press,philosophie politique,2973,philosophie politique europe occidentale 13e s 16e s
"Althusius-Bibliographie : Bibliographie zur politischen Ideengeschichte und Staatslehre, zum Staatsrecht und zur Verfassungsgeschichte des 16. bis 18. Jahrhunderts /",,3428029712; 9783428029716,Duncker & Humblot,bibliographie; droit constitutionnel; droit public; idees politiques; livre france 15e s 18e s,2974,althusius johannes bibliographie; doctrine politique 16e s 18e s bibliographie; droit constitutionnel 16e s 18e s bibliographie; droit public 16e s 18e s bibliographie; idees politiques 16e s 18e s bibliographie
Les six livres de la République = De republica libri sex /,Jean Bodin,9782812409912; 2812409916; 9782812409905; 2812409908; 9782406098393; 2406098397; 9782406098409; 2406098400; 9782406123316; 2406123316; 9782406123323; 2406123324,Classiques Garnier,ouvrages avant; philosophie politique,2975,ouvrages avant; philosophie politique 16e siecle
Le réveille-matin des François /,,9782812460746; 2812460741; 9782812460753; 281246075X,Classiques Garnier,,2976,
The Cambridge history of political thought : 1450-1700 /,,0521247160; 9780521247160,Cambridge University Press,idees politiques,2977,idees politiques europe etudes diverses
"La paix perpétuelle entre la France et la Suisse : Après Marignan : [1516.2016] : Actes des colloques, Paris, 27 septembre / Fribourg, 30 novembre 2016 /",,2940066167; 9782940066162,Société d'histoire de la Suisse romande,a letranger; actes de congres; bataille de marignan; politique etrangere suisse,2978,actes de congres; bataille de marignan; maintien de la paix; relations avec letranger france; relations avec letranger suisse
La neutralité suisse : synthèse de son histoire /,Edgar Bonjour,2825206148; 9782825206140,P Attinger; La Baconnière,neutralite,2979,neutralite suisse
L'association /,Julie Wynne,9783725585915; 3725585911,Schulthess Editions romandes,lehrmittel; schweiz; verein,2980,lehrmittel; schweiz; verein
"La fracture religieuse vaudoise, 1847-1966 : l'Eglise libre, ""la Môme"" et le canton de Vaud /",Jean-Pierre Bastian,9782830915907; 2830915909,Labor et Fides,20e siecle milieu; banque protestantisme france; eglise evangelique libre du canton de vaud; federalisme suisse,2981,19e siecle milieu20e siecle milieu; eglise evangelique libre du canton de vaud; eglise evangelique reformee du canton de vaud; eglise nationale evangelique reformee du canton de vaud; protestantisme vaud suisse; religion et etat vaud suisse
Au coeur de l'Europe : une histoire de la Suisse entre ouverture et repli /,André Holenstein,9782889011438; 2889011437,Antipodes,politique et gouvernement suisse 19e siecle; relations exterieures suisse pays de lunion europeenne,2982,politique et gouvernement suisse histoire; relations exterieures europe suisse histoire; relations exterieures pays de lunion europeenne suisse histoire
Le corporatisme et la droite en Suisse romande /,Philippe Maspoli,,Université de Lausanne Faculté des lettres Section d'histoire,institutions politiques suisse; partis politiques suisse,2983,corporatisme droite politique suisse romande; corporatisme influence exercee ideologie suisse romande
Les pays romands au Moyen Age /,,2601031905; 9782601031904,Ed Payot,suisse romande,2984,suisse romande moyen age; suisse romande moyenage etudes diverses
La manipulation /,Fabrice d' Almeida,9782715413832; 2715413831,Presses universitaires de France/Humensis,manipulation psychologie,2985,manipulation psychologie
La fabuleuse histoire de l'intelligence artificielle : des automates aux robots humanoïdes /,Clifford A Pickover,9782100813186; 2100813188,Dunod,intelligence artificielle,2986,intelligence artificielle histoire
"Balades sensationnelles : spirituelles, vertigineuses, magiques ou sportives, pour tous les goûts et les quatre saisons /",Patricia Brambilla,9782828917869; 282891786X,Favre,randonnee pedestre,2987,randonnee pedestre suisse romande
Sicile : 2022/2023,,9782017187967; 2017187968,Hachette,guides touristiques et de visite; sicile italie,2988,guides touristiques et de visite; sicile italie
Sicile,,9782067253506; 2067253506,Michelin,guides touristiques et de visite; sicile italie,2989,guides touristiques et de visite; sicile italie
Madrid et ses environs : 2024-2025,,9782017888246; 2017888249,Hachette Livre,guides touristiques et de visite; madrid espagne,2990,guides touristiques et de visite; madrid espagne; madrid espagne region
Contre-culture dans la photographie contemporaine /,Michel Poivert,9782845978690; 2845978693,Textuel,contreculture,2991,contreculture photographie
Surréalisme au féminin ? /,,9782382031162; 2382031166,Musée de Montmartre Jardins Renoir; In Fine éditions d'art,catalogues dexposition; surrealisme,2992,catalogues dexposition; surrealisme art femmes
Le tour de l'Occitanie en train : voyagez avec l'Occitanie Rail Tour,,9782067260757; 2067260758,Michelin,guides touristiques et de visite; voyages en train,2993,guides touristiques et de visite; voyages en train; voyages en train occitanie france
Victory City /,Salman Rushdie,9780593597217; 0593597214,Random House,,2994,
"La procédure pénale militaire en Suisse : état des lieux, examen critique et propositions de révision /","Thierry, dr en droit Godel",9783719041281; 371904128X,Helbing Lichtenhahn,schweiz; strafprozess,2995,militarstrafprozess; schweiz
Droit des assurances privées /,Vincent Brulhart,9783727223969; 3727223960,Stämpfli,grundlagenwerk; privatversicherung; schweiz; versicherungsvertrag,2996,grundlagenwerk; privatversicherung; schweiz; versicherungsvertrag
Versicherungsvertragsgesetz /,,3719041573; 9783719041571,Helbing Lichtenhahn,assurances; bundesgesetz uber den versicherungsvertrag; kommentarwerk; manuels denseignement; privatversicherung; schweiz; schweiz versicherungsvertragsgesetz; suisse; textreproduktion; versicherungsvertrag,2997,assurance polices; assurances privees; bundesgesetz uber den versicherungsvertrag; kommentarwerk; manuels denseignement; privatversicherung; privatversicherungsrecht; schweiz; schweiz versicherungsvertragsgesetz; suisse; textreproduktion; versicherungsvertrag
Droit des assurances privées /,Bernard Viret,3286502731; 9783286502734,Ed de la Société suisse des employés de commerce,droit du travail suisse manuel; grundlagenwerk; privatversicherung; schweiz,2998,droit des assurances suisse manuel; grundlagenwerk; privatversicherung; schweiz
Panorama II en droit du travail : recueil d'études réalisées par des praticiens /,,9783727222306; 3727222301,Stämpfli,abgaberecht; arbeitsrecht; bundesrecht; droit du travail suisse etudes diverses; einzelarbeitsvertrag; haftung aus unerlaubter handlung; schweiz; sozialversicherung; zivilprozess,2999,abgaberecht; arbeitsrecht; bundesrecht; droit du travail suisse etudes diverses; einzelarbeitsvertrag; gesamtarbeitsvertrag; haftung aus unerlaubter handlung; schweiz; sozialversicherung; zivilprozess
"Loi sur le travail : loi fédérale du 13 mars 1964 sur le travail dans l'industrie, l'artisanat et le commerce /",,3727224622; 9783727224621,Staempfli,arbeitsrecht; bundesgesetz uber die arbeit in industrie gewerbe und handel; droit de la sante; droit du travail suisse manuel; kommentarwerk; legislation; schweiz; switzerland; textreproduktion; work,3000,arbeitsrecht; bundesgesetz uber die arbeit in industrie gewerbe und handel; droit de la sante; droit du travail suisse manuel; kommentarwerk; legislation; schweiz; switzerland; textreproduktion; work
DPMin : droit pénal des mineurs /,"Michaël, avocat Geiger",9783719041021; 3719041026,Helbing Lichtenhahn,bundesgesetz uber das jugendstrafrecht; jugendstrafrecht; kommentarwerk; schweiz; textreproduktion,3001,bundesgesetz uber das jugendstrafrecht; jugendstrafrecht; kommentarwerk; schweiz; textreproduktion
"Droit pénal et justice des mineurs en Suisse : droit pénal des mineurs (DPMin), procédure pénale applicable aux mineurs (PPMin) : commentaire /",,9783725585861; 3725585865,Schulthess éd romandes,bundesgesetz uber das jugendstrafrecht; bundesrecht; jugendstrafrecht; kommentarwerk; schweiz; schweizerische strafprozessordnung; strafprozess; textreproduktion,3002,bundesgesetz uber das jugendstrafrecht; bundesrecht; jugendstrafrecht; kommentarwerk; schweiz; schweizerische jugendstrafprozessordnung; strafprozess; textreproduktion
Traité de droit administratif /,André Grisel,,Paul Attinger SA; Ed Ides et Calendes,,3003,
"Petite histoire des artistes femmes : chefs-d'oeuvre, grands tournants, thèmes /",Susie Hodge,9782080236661; 2080236660,Flammarion,femmes artistes,3004,femmes artistes
"Grammaire 4e, 3e /",,,Belin,,3005,
Grammaire progressive du français : B2-C2 : perfectionnement : avec 600 exercices /,Maïa Grégoire,2090382090; 9782090382099,CLE international,grammaire francaise; manuels denseignement secondaire,3006,grammaire francaise; manuels denseignement secondaire
Tendances C1-C2 : méthode de français : Cahier d'activités /,Amélie Brito,2090385383; 9782090385380,CLE International,francais langue etrangere; manuels pour allophones,3007,francais langue etrangere; manuels pour allophones
Tendances C1-C2 : méthode de français : Livre du professeur /,Denis Liakin,9782090385397; 2090385391,CLE International,francais langue etrangere; manuels pour allophones,3008,francais langue etrangere; manuels pour allophones
La compréhension en lecture /,Jocelyne Giasson,2804123537; 9782804123536,De Boeck Université,comprehension etude et enseignement primaire,3009,comprehension lecture psychopedagogie
"Lector & Lectrix : apprendre à comprendre les textes narratifs : CM1, CM2, 6e, Segpa /",Sylvie Cèbe,9782725627328; 272562732X,Retz,comprehension etude et enseignement primaire; lecture aspect cognitif; lecture etude et enseignement primaire; manuels denseignement; pedagogie de soutien,3010,didactique enseignement primaire lecture; enseignement primaire lecture enseignement texte comprehension; lecture aspect cognitif; lecture etude et enseignement primaire; lecture pedagogie de soutien; manuels denseignement primaire
"Lector & Lectrix : apprendre à comprendre les textes narratifs : cycle 3, Segpa /",Sylvie Cèbe,9782725636092; 2725636094,Retz,apprentissage cognitif; lecture etude et enseignement; manuels denseignement; pedagogie de soutien,3011,apprentissage cognitif lecture; francais pedagogie de soutien; lecture etude et enseignement; manuels denseignement
"S'exprimer en français : séquences didactiques pour l'oral et pour l'écrit : vol. 4, 7e-8e-9e /",,2804138283; 9782804138288,De Boeck,,3012,
Enseignants efficaces : [enseigner et être soi-même] /,Thomas Gordon,2761921372; 9782761921374,Les Editions de l'Homme,enseignement efficacite,3013,communication efficacite enseignant relation maitreeleve
Leur domaine /,Jo Nesbø,9782072896118; 2072896118,Gallimard,roman policier; roman policier norvegien,3014,roman norvegien; roman policier
Un œil dans la nuit : thriller /,Bernard Minier,9782374484976; 2374484971,XO,roman francais; thriller roman,3015,roman francais; thriller roman
Le royaume enchanté /,Russell Banks,9782330185374; 2330185375,Actes Sud,roman americain,3016,roman americain
Après minuit /,Gillian McAllister,9782383991328; 2383991325,Sonatine éditions,,3017,
Le jugement moral chez l'enfant /,Jean Piaget,9782130441823; 2130441823,Presses universitaires de France,,3018,
Arte /,Kei Ohkubo,9782372870436; 2372870432; 9782372870610; 2372870610; 9782372870757; 2372870750; 9782372871198; 2372871196; 9782372871808; 2372871803; 9782372872409; 2372872400; 9782372872843; 2372872842; 9782372873390; 2372873393; 9782372873406; 2372873407; 978237287459,Komikku,mangas,3019,mangas
Quand tu ouvriras les yeux /,Pétronille Rostagnat,9791033914310,Harpercollins,thriller roman,3020,thriller roman
Les chefs-d’œuvre /,Junji mangaka.... Itō,9782382810149; 2382810149; 9782382810736; 2382810734,Mangetsu,bandes dessinees; mangas,3021,bandes dessinees; mangas
La gameuse et son chat /,Wataru Nadatani,9782818978337; 2818978335; 9782818978344; 2818978343; 9782818980064; 2818980062; 9782818984307; 2818984300; 9782818988572; 2818988578; 9782818989418; 2818989418; 9782818996447; 2818996449; 9782818999127; 281899912X,Bamboo Ed,mangas,3022,mangas
Le cancer aime le sucre /,Magali Walkowicz,9782365497466; 2365497462,Thierry Souccar Editions,cancer therapeutique; inflammation aspect nutritionnel; regimes cetogenes,3023,cancer aspect nutritionnel; cancer dietotherapie; regimes cetogenes
"Psoas, le muscle qui vous veut du bien /",Marcello.... Chiapponi,9782416011832; 2416011839,Eyrolles,exercices physiques; guides pratiques,3024,guides pratiques; muscle iliopsoas; troubles de la posture exercices physiques
"Ultra-trail : plaisir, performance et santé /",Guillaume Millet,2490329111; 9782490329113,Outdoor-éditions,course a pied; course en montagne; entrainement sports; guides pratiques,3025,course a pied; course en montagne; entrainement sports; guides pratiques
Mustiks : une odyssée en Zambie /,Namwali.... Serpell,9782021440669; 2021440664,Seuil,,3026,
La cybersécurité pour les nuls /,Joseph Steinberg,9782412083796; 2412083797,First Editions,guides pratiques; internet; protection de linformation informatique; systemes informatiques mesures de surete,3027,guides pratiques; internet; mesures de surete; protection de linformation informatique; systemes informatiques
Bitcoin & cryptomonnaies faciles : comprendre les monnaies numériques et leurs enjeux économiques et politiques /,Claire Balva,9782412081716; 2412081719,First Editions,bitcoin; cryptomonnaie,3028,bitcoin; cryptomonnaie
"Le monde des Maths : comment le numérique a révolutionné notre monde : les algorithmes et l'informatique, le codage et la cryptographie, l'intelligence artificielle et ses enjeux /",Vicenç Torra,9782344057988; 2344057986,Glénat,,3029,
Roman fleuve /,Philibert.... Humm,9782382842096; 2382842091,Equateurs,,3030,
La révolution ChatGPT : [l'intelligence artificielle qui a déjà séduit plus de 100 millions d'utilisateurs dans le monde !] /,Eric Sarrion,9782416013072; 2416013076,Editions Eyrolles,agents conversationnels; intelligence artificielle,3031,agents conversationnels; intelligence artificielle
La bible des codes secrets /,Hervé Lehning,9782080289667; 2080289667,Flammarion,chiffres,3032,codage histoire; codes chiffres et telegraphiques histoire; cryptographie histoire
La mariée portait des bottes jaunes : roman /,Katherine Pancol,9782226475756; 2226475753,Albin Michel,roman francais,3033,roman francais
La science de l'endurance /,Fabrice médecin du sport 19..-.... Kuhn,9782365497817; 2365497810,Theirry Souccar Editions,condition physique; entrainement sports; guides pratiques; sports dendurance,3034,condition physique; entrainement sports; guides pratiques; sports dendurance
Les recettes des dames de Fenley : roman /,Jennifer Ryan,9782226462015; 2226462015,Albin Michel,roman,3035,roman
La (pire) fête de l'année/,Sophie Kinsella,9782714498489; 2714498485,Belfond,,3036,
Girl in pieces : [roman] /,Kathleen Glasgow,9782380821314; 2380821313,Anne Carrière,,3037,
Paradis fiscaux : comment on a changé le cours de l'histoire /,Pascal.... Saint-Amans,9782021531183; 202153118X,Editions du Seuil,abgaberecht; bankgeheimnis; crise economique; crises financieres; finances internationales; international; liberalisme economique; paradis fiscaux suisse; steuer vom unternehmungsgewinn; steuerumgehung; umsetzung des internationalen rechts; unternehmung,3038,abgaberecht; bankgeheimnis; crise economique; crises financieres; finances internationales; international; liberalisme economique; minimalsteuer; paradis fiscaux; steuer vom unternehmungsgewinn; steuerumgehung; umsetzung des internationalen rechts; unternehmung
La rose de minuit : roman /,Lucinda Riley,9782368129517; 2368129510,Charleston,roman,3039,roman
Grammaire espagnole /,,9782035944641; 2035944643,Larousse,espagnol langue; manuels pour locuteurs du francais,3040,espagnol langue grammaire; manuels pour locuteurs du francais
La mesure /,Nikki 19..-.... Erlick,9782265155701; 2265155705,Editions Fleuve,,3041,
Swan Hill : roman /,Anna.... Jacobs,9782809828627; 2809828628; 9782809840919; 2809840911; 9782809843033; 2809843031; 9782809843057; 2809843058; 9782809847703; 2809847703,l'Archipel,roman historique,3042,roman historique
La rose la plus rouge s'épanouit /,Liv.... Strömquist,9782878272352; 2878272358,Rackham,bandes dessinees; relations amoureuses; sexisme,3043,bandes dessinees; relations amoureuses; sexisme
I'm every woman /,Liv.... Strömquist,9782878272215; 2878272218,Rackham,bandes dessinees; couples; relations hommesfemmes,3044,bandes dessinees; couples; relations hommesfemmes
Education thérapeutique : prévention et maladies chroniques /,,9782294769313; 2294769317,Elsevier Masson,chronic disease; education des patients; maladies; patient education as topic; patients psychology; physicianpatient relations,3045,caregivers; chronic disease; education des patients; maladies chroniques; patient compliance; patient education as topic; patients psychology; physicianpatient relations
La collaboration infirmière-patient : un partenariat complexe /,Laurie Naomi Gottlieb,9782761647014; 2761647017,Beauchemin,interpersonal relations; nursepatient relations; patientcentered care; relations infirmierepatient; soins infirmiers soins a domicile; soins infirmiers theorie,3046,interpersonal relations; nursepatient relations; patientcentered care; relation infirmierepatient soins infirmiers; soins infirmiers soins a domicile; soins infirmiers theorie
15 énigmes ludiques pour s'initier à la programmation Python /,Pascal Lafourcade,9782100834303; 2100834304,Dunod,python langage de programmation,3047,python langage de programmation
"Donner à voir le silence : esprit chan, peinture spirituelle /",Jérôme Edou,235118520X; 9782351185209,Almora éditions,bouddhisme; peinture,3048,bouddhisme mahayana; peinture zen
"Le shintô : [une introduction à l'histoire, aux concepts et aux pratiques de ce culte venu du Japon] /",Édouard.... L'Hérisson,9782212569926; 2212569920,Éditions Eyrolles,shinto,3049,shinto
Romans et récits /,Romain Gary,9782070147090; 2070147096; 9782070147106; 207014710X,Gallimard,,3050,
Izuku Midoriya : les origines /,Kohei Horikoshi,9782355929489; 2355929483,Ki-oon,,3051,
"Déchaîne-toi, maudit nerd ! /",Kohei Horikoshi,9782355929472; 2355929475,Ki-oon,,3052,
All might /,Kohei Horikoshi,9782355929724; 2355929726,Ki-oon,,3053,
Celui qui avait tout /,Kohei Horikoshi,9782355929885; 2355929882,Ki-oon,,3054,
Demon slayer /,Koyoharu Gotōge,9782809482317; 2809482314; 9782809482324; 2809482322; 9782809476132; 2809476136; 9782809476903; 280947690X; 9782809477542; 280947754X; 9782809478181; 280947818X; 9782809486612; 2809486611; 9782809487206; 2809487200; 9782809487565; 2809487561; 978280948828,Panini manga,mangas,3055,mangas
Frémissements /,Kohei Horikoshi,9791032700051,Ki-oon,,3056,
My hero /,Kohei Horikoshi,9791032700921,Ki-oon,mangas,3057,mangas
Momo Yaoyorozu : l'envol /,Kohei Horikoshi,9791032700754,Ki-oon,,3058,
Katsuki Bakugo : les origines /,Kohei Horikoshi,9791032700525,Ki-oon,,3059,
[Flamme amoureuse] /,Tsugumi Ohba,9782505001065; 2505001065,Kana,bandes dessinees; mangas,3060,bandes dessinees; mangas
[Course effrénée] /,Tsugumi Ohba,9782505000792; 2505000794,Kana,bandes dessinees; mangas,3061,bandes dessinees; mangas
[Rassemblement] /,Tsugumi Ohba,9782505000426; 2505000425,Kana,bandes dessinees; mangas,3062,bandes dessinees; mangas
Frieren /,Kanehito Yamada,9791032710838; 9791032710845; 9791032711125; 9791032711262; 9791032711484; 9791032711897; 9791032713105; 9791032713204; 9791032713419; 9791032713662; 9791032716076; 9791032716090,Ki-oon,mangas; shonen,3063,mangas; shonen
Physique générale /,Douglas C Giancoli,2804117006; 9782804117009,De Boeck,mecanique physique manuel; physique,3064,mecanique physique manuel; physique manuel; thermodynamique manuel
Chimie physique /,Peter William Atkins,9782807331129; 2807331122,De Boeck,chemical phenomena; chimie; manuels denseignement superieur; textbook,3065,chemical phenomena; chemistry physical; chimie physique et theorique; manuels denseignement superieur; textbook
Physique,David Halliday,9782894618516; 2894618514; 9782894618523; 2894618522; 9782894618530; 2894618530,Chenelière/McGraw-Hill,,3066,
Biologie moléculaire de la cellule /,,9782257206787; 2257206789,Lavoisier-Médecine sciences,biologie moleculaire; cells; cytologie; manuels denseignement superieur; molecular biology; problemes et exercices; textbook,3067,biologie moleculaire; cells; cytologie; manuels denseignement superieur; molecular biology; problemes et exercices; textbook
Chimie générale /,Donald Allan MacQuarrie,9782804171278; 2804171272,De Boeck,chemistry; chimie; manuels denseignement superieur; problems and exercises; textbook,3068,chemistry; chimie; manuels denseignement superieur; problems and exercises; textbook
L'humain devant et dans la nature /,,9782406133209; 2406133206,Classiques Garnier,ecocritique; ecologie dans la litterature; femmes dans la litterature; nature esthetique; poesie; transition ecologique,3069,ecocritique; ecologie dans la litterature; nature dans la litterature; nature esthetique; nature writing; poesie des lieux; roman ecologique
Appel à témoins : écrits personnels et pratiques socioculturelles (XVIe-XXe s.) /,,9782940331482; 2940331480,Etudes de Lettres,19e siecle20e siecle; actes de congres; autobiographie; ecriture; etudes diverses; histoires de vie; journaux intimes; litterature francaise histoire et critique; recits personnels; sociologie,3070,16e siecle20e siecle; actes de congres; autobiographie; correspondance histoire et critique; ecriture aspect social; etudes diverses; histoires de vie; journaux intimes histoire et critique; livres de raison histoire et critique; recits personnels; sociologie
Kiki : c'est pas la taille qui compte,,9782957245420; 2957245426,Point de côté,,3071,jornet burgada kilian
Droit européen et international des droits de l'homme /,,9782130832867; 2130832865,Presses universitaires de France,droits de lhomme; droits de lhomme droit international; emrk; europa; grundrecht; human rights; international; internationales strafgericht; manuels denseignement superieur; menschenrecht; organisationverfahren; uberprufungsbefugnis; unopakt ii; volkerrecht,3072,afrikanische charta der rechte des menschen; amerikanische menschenrechtskonvention; droits de lhomme droit europeen; droits de lhomme droit international; emrk; europa; grundrecht; human rights; human rights europe; international; internationaler richter; manuels denseignement superieur; menschenrecht; organisationverfahren; uberprufungsbefugnis; unopakt i; unopakt ii; volkerrecht
L'entretien d'explicitation /,Pierre Vermersch,9782710131946; 2710131943,ESF,entretiens dexplicitation methodologie,3073,entretiens dexplicitation methodologie
Droit du travail : aspects juridiques et pratiques /,Marianne Favre Moreillon,3719025640; 9783719025649,Helbing & Lichtenhahn,anderungallgemein; arbeitgeber; arbeitnehmer; arbeitsrecht; befristeter vertrag; computerprogramm; credit; designschutz; droit du travail; droit du travail suisse manuel; einzelarbeitsvertrag; employment; employment legislation jurisprudence; erfindungspatent; ferien; guides pratiques; konkurrenzverbot; konsens; kundigung; schweiz; suisse; switzerland; verschuldenshaftung,3074,abhangige erfindung; anderungskundigung; arbeitgeber; arbeitnehmer; arbeitsrecht; arbeitsvertrag; befristeter vertrag; computerprogramm; designschutz; droit du travail; droit du travail suisse manuel; einzelarbeitsvertrag; employment; employment legislation jurisprudence; erfindung; ferien; gratifikation; guides pratiques et mementos; konkurrenzverbot; konsens; kredit; kundigung; kundigungsschutz; lohn; lohnfortzahlung; schweiz; suisse; switzerland; unbezahlter urlaub; unverschuldete verhinderung; vorbezug
Migrations et regroupement familial /,Cesla Amarelle,9783727288098; 3727288094,cdm Centre de droit des migrations; Stämpfli,achtung des privatlebens; asylrecht; auslanderrecht; einreise; familienrecht; travailleurs etrangers francais suisse; verwandtschaft,3075,achtung des familienlebens; asylrecht; auslanderrecht; einreise; etranger immigre regroupement familial droit suisse manuel; familiennachzug; verwandtschaft
"Migrationsrecht : Kommentar : Ausländer- und Integrationsgesetz (AIG), Asylgesetz (AsylG), Bürgerrechtsgesetz (BüG) sowie Freizügigkeitsabkommen (FZA) mit weiteren Erlassen /",,9783280074312; 3280074312,Orell Füssli,abkommen uber die freizugigkeit der personen; accords bilateraux chue 1; asylgesetz; asylrecht; auslanderrecht; bundesgesetz uber die auslanderinnen und auslander und uber die integration; bundesgesetz uber erwerb und verlust des schweizer burgerrechts; burgerrecht; commentaires; droit dasile; etrangers droit; freizugigkeitsgarantie; kommentarwerk; legislation; libre circulation des personnes; migrations; schweiz; suisse; textreproduktion,3076,abkommen uber die freizugigkeit der personen; accords bilateraux chue 1; asylgesetz; asylrecht; auslanderrecht; bundesgesetz uber die auslanderinnen und auslander und uber die integration; bundesgesetz uber erwerb und verlust des schweizer burgerrechts; burgerrecht; commentaires; droit dasile; etrangers droit; freizugigkeitsgarantie; kommentarwerk; legislation; libre circulation des personnes; migration; schweiz; suisse; textreproduktion
Migrationsrecht /,,9783727227974; 3727227974,Stämpfli Verlag,asylrecht; auslanderrecht; burgerrecht; droit dasile; emigration et immigration; etrangers droit; immigres; lehrmittel; manuels denseignement superieur; politique publique; refugies; schweiz; suisse,3077,asylrecht; auslanderrecht; burgerrecht; droit dasile; emigration et immigration; etrangers droit; immigres clandestins; lehrmittel; manuels denseignement superieur; politique publique; refugies politiques; schweiz; suisse
Handbuch zum Migrationsrecht /,,9783280074381; 328007438X,Orell Füssli,asylrecht; auslanderrecht; burgerrecht; droit dasile; emigration et immigration; etrangers droit; famille recomposee; grundlagenwerk; integration sociale; lehrmittel; manuels denseignement superieur; refugies; schweiz; suisse,3078,accords de schengen; asylrecht; auslanderrecht; burgerrecht; droit dasile; emigration et immigration; etrangers droit; grundlagenwerk; integration sociale; lehrmittel; manuels denseignement superieur; refugies; regroupement familial; schweiz; suisse
Code annoté de droit des migrations /,,9783727288746; 3727288744; 9783727288753; 3727288752; 9783727288760; 3727288760; 9783727288777; 3727288779; 9783727288784; 3727288787; 9783727288791; 3727288795,Stämpfli,abkommen uber die freizugigkeit der personen; asylgesetz; asylrecht; auslanderrecht; bundesgesetz uber die auslanderinnen und auslander und uber die integration; bundesgesetz uber erwerb und verlust des schweizer burgerrechts; burgerrecht; commentaires; droit dasile; droits de lhomme; freizugigkeitsgarantie; grundrecht; kommentarwerk; libre circulation des personnes; migrations; nationalite; schweiz; suisse; textreproduktion,3079,abkommen uber die freizugigkeit der personen; asylgesetz; asylrecht; auslanderrecht; bundesgesetz uber die auslanderinnen und auslander und uber die integration; bundesgesetz uber erwerb und verlust des schweizer burgerrechts; burgerrecht; commentaires; droit dasile; droits de lhomme; freizugigkeitsgarantie; grundrecht; kommentarwerk; libre circulation des personnes; migrations; nationalite; schweiz; suisse; textreproduktion
La responsabilité civile et pénale des organes dirigeants de sociétés anonymes /,Andrew M. Garbarski,,Schulthess,aktiengesellschaft; juristische person; ortliche zustandigkeit; prozessvertretung; schweiz; societe anonyme droit suisse manuel; strafbarkeit; unternehmung; verantwortlichkeit der organperson; verantwortlichkeit des unternehmens; verantwortlichkeitsklage,3080,aktiengesellschaft; conseil dadministration responsabilite droit societe anonyme suisse; conseil dadministration responsabilite penale societe anonyme suisse; organjuristische person; ortliche zustandigkeit; prozessfuhrungsbefugnis; schweiz; strafbarkeit; unternehmung; verantwortlichkeit der organperson; verantwortlichkeit des unternehmens; verantwortlichkeitsklage
"La responsabilité des organes en droit des sociétés : commentaire des articles 752-761, 827 et 916-920 du Code des obligations /",Bernard Corboz,3719023885; 9783719023881,Helbing & Lichtenhahn,aktiengesellschaft; genossenschaft; gesellschaft mit beschrankter haftung; kommentarwerk; obligationenrechtbundesgesetz; schweiz; societe anonyme droit suisse manuel; textreproduktion; verantwortlichkeit der organperson,3081,aktiengesellschaft; genossenschaft; gesellschaft mit beschrankter haftung; kommentarwerk; obligationenrechtbundesgesetz; organe de controle responsabilite droit societe anonyme suisse; schweiz; textreproduktion; verantwortlichkeit der organperson
Schweizerisches Gesellschaftsrecht : mit neuem Aktien- und Handelsregisterrecht /,Arthur Meier-Hayoz,9783727222375; 3727222379,Stämpfli Verlag,aktiengesellschaft; gesellschaftsrecht; grundlagenwerk; handelsregister; schweiz,3082,aktiengesellschaft; gesellschaftsrecht; grundlagenwerk; handelsregister; schweiz
Droit suisse des sociétés : avec mise à jour 2015 /,Arthur Meier-Hayoz,9783727223976; 3727223979,Stämpfli,droit commercial; gesellschaftsrecht; grundlagenwerk; manuels denseignement superieur; schweiz; societes commerciales; suisse,3083,droit commercial; gesellschaftsrecht; grundlagenwerk; manuels denseignement superieur; schweiz; societes commerciales; suisse
"Abrégé de droit commercial : entreprise individuelle, sociétés de personnes, SS - SNC - SCM, sociétés de capitaux et mixtes, SA - SARL - SCOOP, registre du commerce, droit comptable, droit concordataire, Loi sur la fusion, groupes cartels concurrence, papiers-valeurs, titres intermédiés, placements collectifs, aspects de droit boursier, loi sur la surveillance de la révision, droit pénal économique, législation anti-blanchiment, droit international privé des sociétés /",Pascal Montavon,9783725569243; 372556924X,Schulthess,grundlagenwerk; handelsrecht; schweiz,3084,grundlagenwerk; handelsrecht; schweiz
"La société anonyme suisse : droit commercial, droit comptable, responsabilité, loi sur la fusion, droit boursier, droit fiscal /",,9783725587728; 3725587728,Schulthess Editions romandes,abgaberecht; aktiengesellschaft; aktienrecht; baurecht; borse; buchhaltung; fusion; grundlagenwerk; haftung aus unerlaubter handlung; handelsrecht; rechnungslegung; recht; schweiz; steuerrecht; verantwortlichkeit der organperson; verantwortlichkeit des unternehmens,3085,abgaberecht; aktiengesellschaft; aktienrecht; borse; borsenrecht; buchhaltung; fusion; grundlagenwerk; haftung aus unerlaubter handlung; handelsrecht; rechnungslegung; recht; schweiz; steuerrecht; verantwortlichkeit der organperson; verantwortung
